feature,pearson_corr,pearson_p_value,pearson_significant,spearman_corr,spearman_p_value,spearman_significant,abs_pearson,abs_spearman,n_samples
koi_dor_err2,-0.011806547304136113,0.24828747800973683,False,-0.3247383586944506,1.0228582842835002e-233,True,0.011806547304136113,0.3247383586944506,9564
koi_dor_err1,0.011806547304136113,0.24828747800973683,False,0.3247383586944506,1.0228582842835002e-233,True,0.011806547304136113,0.3247383586944506,9564
koi_dor,0.011675077943595616,0.25359447839551735,False,0.30741184651847636,2.0068541578798876e-208,True,0.011675077943595616,0.30741184651847636,9564
koi_time0bk,0.011082731945706203,0.27848222243353565,False,0.19586864560846454,2.464009554275e-83,True,0.011082731945706203,0.19586864560846454,9564
koi_time0,0.011082663887949038,0.2784851742324107,False,0.19587266397443162,2.444750811999676e-83,True,0.011082663887949038,0.19587266397443162,9564
koi_dikco_mra,0.008972085169327357,0.38030504964571765,False,0.0267713472161931,0.008838207599451321,True,0.008972085169327357,0.0267713472161931,9564
koi_period,0.007986012730839789,0.434856536859614,False,0.21384426252665825,2.4565973542119707e-99,True,0.007986012730839789,0.21384426252665825,9564
koi_fwm_pdeco,0.007345664178106999,0.4725783691144341,False,0.007315671280612669,0.4743882950224384,False,0.007345664178106999,0.007315671280612669,9564
koi_fwm_sdeco,0.004092386394313742,0.6890333869738923,False,0.009545349797576626,0.35061685306849666,False,0.004092386394313742,0.009545349797576626,9564
koi_impact_err2,-0.003812839757085606,0.7092735061978825,False,-0.21015955737238698,6.229907188205434e-96,True,0.003812839757085606,0.21015955737238698,9564
koi_srho,-0.0036546406428621427,0.7208203434539542,False,0.2665119994592558,3.194834515884905e-155,True,0.0036546406428621427,0.2665119994592558,9564
koi_srho_err2,-0.0020266313863468548,0.8429119457832925,False,-0.35492047512256814,6.340123078739971e-282,True,0.0020266313863468548,0.35492047512256814,9564
koi_fwm_prao,0.0019156600789504773,0.8514105160755997,False,-0.002662451370831793,0.7945994082838916,False,0.0019156600789504773,0.002662451370831793,9564
koi_eccen,,,False,,,False,,,9564
koi_ldm_coeff4,,,False,,,False,,,9564
koi_ldm_coeff3,,,False,,,False,,,9564
